a,b,k,f_coefs,test_name,alg,time
1,1000,32,"[5, -1, 1, -5, -3, 3]",big b,4,5.5789947509765625e-05
1,100,33,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,33,"[5, -1, 1, -5, -3, 3]",normal,4,4.291534423828125e-05
1,1000,33,"[5, -1, 1, -5, -3, 3]",big b,3,0.001172780990600586
1,1000,33,"[5, -1, 1, -5, -3, 3]",big b,4,4.458427429199219e-05
1,100,34,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,34,"[5, -1, 1, -5, -3, 3]",normal,4,4.7206878662109375e-05
1,1000,34,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011734962463378906
1,1000,34,"[5, -1, 1, -5, -3, 3]",big b,4,4.9591064453125e-05
1,100,35,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,35,"[5, -1, 1, -5, -3, 3]",normal,4,4.553794860839844e-05
1,1000,35,"[5, -1, 1, -5, -3, 3]",big b,3,0.0026857852935791016
1,1000,35,"[5, -1, 1, -5, -3, 3]",big b,4,0.0001659393310546875
1,100,36,"[5, -1, 1, -5, -3, 3]",normal,3,0.0003209114074707031
1,100,36,"[5, -1, 1, -5, -3, 3]",normal,4,0.00014281272888183594
1,1000,36,"[5, -1, 1, -5, -3, 3]",big b,3,0.0014142990112304688
1,1000,36,"[5, -1, 1, -5, -3, 3]",big b,4,7.796287536621094e-05
1,100,37,"[5, -1, 1, -5, -3, 3]",normal,3,0.0001049041748046875
1,100,37,"[5, -1, 1, -5, -3, 3]",normal,4,4.5299530029296875e-05
1,1000,37,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011723041534423828
1,1000,37,"[5, -1, 1, -5, -3, 3]",big b,4,4.553794860839844e-05
1,100,38,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,38,"[5, -1, 1, -5, -3, 3]",normal,4,4.220008850097656e-05
1,1000,38,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011811256408691406
1,1000,38,"[5, -1, 1, -5, -3, 3]",big b,4,5.078315734863281e-05
1,100,39,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,39,"[5, -1, 1, -5, -3, 3]",normal,4,4.696846008300781e-05
1,1000,39,"[5, -1, 1, -5, -3, 3]",big b,3,0.0016283988952636719
1,1000,39,"[5, -1, 1, -5, -3, 3]",big b,4,5.316734313964844e-05
1,100,40,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,40,"[5, -1, 1, -5, -3, 3]",normal,4,4.6253204345703125e-05
1,1000,40,"[5, -1, 1, -5, -3, 3]",big b,3,0.0019817352294921875
1,1000,40,"[5, -1, 1, -5, -3, 3]",big b,4,5.7697296142578125e-05
1,100,41,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,41,"[5, -1, 1, -5, -3, 3]",normal,4,4.7206878662109375e-05
1,1000,41,"[5, -1, 1, -5, -3, 3]",big b,3,0.0015037059783935547
1,1000,41,"[5, -1, 1, -5, -3, 3]",big b,4,5.173683166503906e-05
1,100,42,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,42,"[5, -1, 1, -5, -3, 3]",normal,4,4.744529724121094e-05
1,1000,42,"[5, -1, 1, -5, -3, 3]",big b,3,0.0017590522766113281
1,1000,42,"[5, -1, 1, -5, -3, 3]",big b,4,6.127357482910156e-05
1,100,43,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010466575622558594
1,100,43,"[5, -1, 1, -5, -3, 3]",normal,4,4.792213439941406e-05
1,1000,43,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011837482452392578
1,1000,43,"[5, -1, 1, -5, -3, 3]",big b,4,5.245208740234375e-05
1,100,44,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010442733764648438
1,100,44,"[5, -1, 1, -5, -3, 3]",normal,4,5.125999450683594e-05
1,1000,44,"[5, -1, 1, -5, -3, 3]",big b,3,0.0035686492919921875
1,1000,44,"[5, -1, 1, -5, -3, 3]",big b,4,5.245208740234375e-05
1,100,45,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,45,"[5, -1, 1, -5, -3, 3]",normal,4,4.7206878662109375e-05
1,1000,45,"[5, -1, 1, -5, -3, 3]",big b,3,0.0036873817443847656
1,1000,45,"[5, -1, 1, -5, -3, 3]",big b,4,5.245208740234375e-05
1,100,46,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010418891906738281
1,100,46,"[5, -1, 1, -5, -3, 3]",normal,4,4.482269287109375e-05
1,1000,46,"[5, -1, 1, -5, -3, 3]",big b,3,0.001257181167602539
1,1000,46,"[5, -1, 1, -5, -3, 3]",big b,4,5.555152893066406e-05
1,100,47,"[5, -1, 1, -5, -3, 3]",normal,3,0.00010395050048828125
1,100,47,"[5, -1, 1, -5, -3, 3]",normal,4,4.458427429199219e-05
1,1000,47,"[5, -1, 1, -5, -3, 3]",big b,3,0.0011749267578125
1,1000,47,"[5, -1, 1, -5, -3, 3]",big b,4,4.696846008300781e-05
